species,trophic_level_larva,trophic_level_adult,size_mm
Aphthona euphorbiae,Herbivore,Herbivore,1.8
Baryphyma maritimum,Predator,Predator,2.2
Ceutorhynchus obstrictus,Herbivore,Herbivore,2.8
Chorosoma schillingii,Herbivore,Herbivore,15
Clanoptilus marginellus,Predator,Herbivore,5.75
Coccidula rufa,Predator,Predator,3.2
Coccinella septempunctata,Predator,Predator,6.7
Cochlicella acuta,Herbivore,Herbivore,15
Cochlicella barbara,Herbivore,Herbivore,11
Conosanus obsoletus,Herbivore,Herbivore,5
Cteniopus sulphureus,Herbivore,Herbivore,7.8
Cylindroiulus latestriatus,Detritivore,Detritivore,18
Dactylochelifer latreillii,Predator,Predator,2.5
Demetrias monostigma,Predator,Predator,4.5
Diplazon laetatorius,Predator,Predator,5.5
Doratura impudica,Herbivore,Herbivore,4.9
Entelecara erythropus,Predator,Predator,1.9
Eutropha fulvifrons,Detritivore,Herbivore,2.25
Formica cunicularia,Omnivore,Omnivore,3.9
Gravesteiniella boldi,Herbivore,Herbivore,3.1
Hippodamia variegata,Predator,Predator,4.4
Ischnodemus sabuleti,Herbivore,Herbivore,4.6
Javesella pellucida,Herbivore,Herbivore,4.25
Laingia psammae,Herbivore,Herbivore,2.4
Longitarsus jacobaeae,Herbivore,Herbivore,3
Longitarsus luridus,Herbivore,Herbivore,1.7
Meromyza pratorum,Herbivore,Detritivore,5.5
Myrmica specioides,Omnivore,Omnivore,4
Neophilaenus lineatus,Herbivore,Herbivore,6
Neoscona adianta,Predator,Predator,6.5
Notostira elongata,Herbivore,Herbivore,7.6
Ommatoiulus sabulosus,Detritivore,Detritivore,22.5
Phalangium opilio,Predator,Predator,5.25
Pherbellia cinerella,Predator,Detritivore,4
Philaenus spumarius,Herbivore,Herbivore,6.1
Porcellio scaber,Detritivore,Detritivore,11.25
Psammotettix maritimus,Herbivore,Herbivore,4.7
Psylliodes chrysocephalus,Herbivore,Herbivore,3.5
Pupilla muscorum,Herbivore,Herbivore,2.7
Sapromyza quadripunctata,Detritivore,Detritivore,4.2
Schizaphis rufula,Herbivore,Herbivore,1.9
Stenodema calcarata,Herbivore,Herbivore,7.5
Tenuiphantes tenuis,Predator,Predator,2.75
Tethina illota,Detritivore,Detritivore,2.5
Tetragnatha extensa,Predator,Predator,9
Thanatus striatus,Predator,Predator,4
Theba pisana,Herbivore,Herbivore,18.5
Tibellus maritimus,Predator,Predator,8.2
Torymus baudysi,Predator,Predator,2.5
Xeroplexa intersecta,Herbivore,Herbivore,9.5
